2026-03-06 12:21:21 | INFO     | bot.client | Order response: {'orderId': 12652226544, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'xT9z0yBGzPXZOgHgfMTbZs', 'price': '80000.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1772779875731}
2026-03-06 12:21:21 | INFO     | __main__ | Order placed successfully | orderId=12652226544
2026-03-06 12:21:42 | INFO     | __main__ | CLI order request | symbol=BTCUSDT side=BUY type=STOP qty=0.002 price=90000.0 stop_price=91000.0
2026-03-06 12:21:42 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:21:43 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:21:43 | DEBUG    | bot.client | Server time sync: offset=-5362ms
2026-03-06 12:21:43 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5362ms)
2026-03-06 12:21:43 | INFO     | bot.orders | Placing STOP-LIMIT order | symbol=BTCUSDT side=BUY qty=0.002 price=90000 stopPrice=91000
2026-03-06 12:21:43 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP', 'quantity': '0.002', 'price': '90000', 'stopPrice': '91000', 'timeInForce': 'GTC'}
2026-03-06 12:21:43 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP', 'quantity': '0.002', 'price': '90000', 'stopPrice': '91000', 'timeInForce': 'GTC', 'timestamp': 1772779898169, 'recvWindow': 5000, 'signature': '123d6c5369042244e3674e2dc1316f6a2613a52d0912d98e08a07415675a7fc8'}
2026-03-06 12:21:44 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=BUY&type=STOP&quantity=0.002&price=90000&stopPrice=91000&timeInForce=GTC&timestamp=1772779898169&recvWindow=5000&signature=123d6c5369042244e3674e2dc1316f6a2613a52d0912d98e08a07415675a7fc8 HTTP/1.1" 400 115
